example_id,conversation_id,brand,primary_intent,primary_intent_name,secondary_intent,secondary_intent_name,difficulty,response_type,customer_message,expected_behavior,gold_response_guidance,reference_support_response,source_reference,split
golden_001,conv_2471902,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,My package has been out for delivery twice now i need it for tomorrow <URL>,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"Oh no! When you can, please give your info here: <URL> and a specialist will contact you.",test/amazon_escalation_pairs_test.jsonl#pair_0072728,test
golden_002,conv_1002880,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,I’m not paying again for product Ive already paid for on next day delivery. If you can’t deliver the First I don’t trust you to deliver no 2,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,I'm sorry about the order! We'd like to look into this w/you. Please provide the order info here: <URL>,test/amazon_escalation_pairs_test.jsonl#pair_0035974,test
golden_003,conv_1736152,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,medium,clarification,Trying to get free standard locker delivery to my office building but it's not offering it to me. Faust or Katy lockers.,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,Hi Ben- Locker delivery might not be an option for this item? Are you receiving any error message?,test/amazon_clarification_pairs_test.jsonl#pair_0057875,test
golden_004,conv_96740,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"Just wondering if you think this looks like a secure delivery, considering I have had one package go missing this week already? <URL>","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"I'm so sorry that a parcel was lost, Dan! Have you established a safe place? If not, this resource may help you set one up: <URL>",test/amazon_escalation_pairs_test.jsonl#pair_0002806,test
golden_005,conv_712026,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"Hey , why is it your drivers cannot deliver to a USPS PO box? , no problem. But ? Nope.","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,We'd like to make sure this is escalated for you. Please send us your details here: <URL>,test/amazon_escalation_pairs_test.jsonl#pair_0026561,test
golden_006,conv_149196,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"It was marked as please deliver to a neighbour on ordering. If no preference is on the box, chucking it behind a bin isn’t acceptable especially around Christmas","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"I can understand your concern. When your partner has the time, please have them contact us at the link ^TM provided above. This will allow us to collect more information and document your delivery experience for improvement.",test/amazon_escalation_pairs_test.jsonl#pair_0004629,test
golden_007,conv_905261,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"AMZL US. 
Also it appears the delivery was attempted in the wrong city. So that's a problem.","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,We'd like to look into this for you! Please provide your order and contact info here: <URL>,test/amazon_escalation_pairs_test.jsonl#pair_0032599,test
golden_008,conv_771343,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,order : 171 - 5209495 -9794724.. please help to deliver by today.it is assured by amazon and they can deliver this..by today.. please help,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.",test/amazon_escalation_pairs_test.jsonl#pair_0028291,test
golden_009,conv_1110761,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,medium,resolution,Yet to receive my courier which was supposed to be delivered yesterday.,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,Sorry to know your order isn't delivered. Kindly fill in your details here: <URL> and I'll look into it.,test/amazon_resolution_pairs_test.jsonl#pair_0039089,test
golden_010,conv_2876329,AmazonHelp,delivery_delay,Delivery Delay & Tracking,prime_membership,Amazon Prime & Subscriptions,hard,resolution,"Hey Amazon, I'm new to this online shopping thing. Is there a difference between delivery and shipping? I got Prime's 2-day shipping so I'm expecting my item to be here in 2 days.","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"Thanks for being a Prime member! Two-Day Shipping refers to the time taken to arrive, in business days, once the item has shipped. Details here: <URL>",test/amazon_resolution_pairs_test.jsonl#pair_0084110,test
golden_011,conv_60264,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,easy,resolution,"Hi, Delivery date keeps being pushed back on my order. I chose you over another company because I thought you were reliable 😞","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,I'm sorry for this delay! Can you tell us what the delivery date was in the confirmation e-mail? <URL>,test/amazon_resolution_pairs_test.jsonl#pair_0001632,test
golden_012,conv_101674,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,trying to place an order via pantry and use code PANTRY10 as its my first order. I tried speaking to someone last night but they cut me off? Any advice? Thanks,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"Thank you for contacting us. We are here to help! Just to clarify, which Amazon site are you using? <URL> or any others?",test/amazon_escalation_pairs_test.jsonl#pair_0002962,test
golden_013,conv_2870631,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"Hello. Package was supposed to be delievered today - tracking says it was delayed, but Amazon says it's still coming today.
Can you clarify??","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"I'm sorry about the wait! We cannot review account info via Twitter, but would love to assist you in real-time. Please reach out to us here for clarification: <URL>",test/amazon_escalation_pairs_test.jsonl#pair_0083859,test
golden_014,conv_2709929,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,medium,resolution,Did not receive my package again 🤬,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,I'm sorry for the wait! Have we missed the delivery date shown here: <URL>,test/amazon_resolution_pairs_test.jsonl#pair_0079057,test
golden_015,conv_2322225,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"I have really fed up with unresponsive service from your side. I have requested multiple times regarding this over the mail
Kindly look into this matter
 Your Amazon.in Order #407-7610889-3961162","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"I understand your concern. We’d like to help you; please fill this form: <URL> and we’ll contact you soon. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.",test/amazon_escalation_pairs_test.jsonl#pair_0068536,test
golden_016,conv_2364702,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,medium,resolution,I ordered a bow tie &amp; suspenders last week &amp; only the suspenders were in the package?,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,I'm sorry to hear this. Does it show that the tie and suspenders were both shipped in the same package: <URL>,test/amazon_resolution_pairs_test.jsonl#pair_0069424,test
golden_017,conv_2852232,AmazonHelp,delivery_delay,Delivery Delay & Tracking,prime_membership,Amazon Prime & Subscriptions,hard,resolution,are very happy to take my £8 a month for Prime but now it’s almost December their “one day delivery” takes 3 days!! What’s the point #cancelprime <URL>,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"If we miss the delivery date provided here, please let us know! We want to be sure you receive your order on time, Jonathan.",test/amazon_resolution_pairs_test.jsonl#pair_0083253,test
golden_018,conv_599046,AmazonHelp,delivery_delay,Delivery Delay & Tracking,,,hard,escalation,"Order a lens on they send me the WRONG FUCKING LENS, also ordered green tea and it came WITHOUT THE LID!","Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,"Oh no! I'm terribly sorry to hear you were sent incorrect and opened items! This is certainly not the experience we strive for! When you have a moment, please call or chat with us here: <URL> We'd like to look into this further with you.",test/amazon_escalation_pairs_test.jsonl#pair_0023452,test
golden_019,conv_825494,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,hard,escalation,Yes they were. All through Amazon. There have been occasions that your delivery service has delivered to the wrong address and even stolen.,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.","We'd like to look into this with you, if you'll provide us as much addt'l info as possible here: <URL>",test/amazon_escalation_pairs_test.jsonl#pair_0030133,test
golden_020,conv_2874069,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,hard,escalation,"got the message, mail and notification from the app that my item got delivered but I didn't get any. Called the delivery agent but his number is not reachable. Not sure when I am suppose to get the item. 2nd time this is happening. #NeedSolution","Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",I'm sorry for the trouble caused over this order. Please get in touch with our support team here: <URL> for further assistance.,test/amazon_escalation_pairs_test.jsonl#pair_0084015,test
golden_021,conv_2958638,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,medium,clarification,my favorite thing is when leave your parcel outside your front door... in south-west England... in winter... well guess a first for everything,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.","Hello! I'm sorry to hear about the experience you had receiving your parcel. Was there damage to the contents? Please let us know, we're here to help in any way we can!",test/amazon_clarification_pairs_test.jsonl#pair_0087320,test
golden_022,conv_2948060,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,hard,escalation,Not impressed with leaving my parcel in plain view by my front door. I was in all day!,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.","Truly sorry to hear you've had this delivery experience, Chis! Have you had the chance to report this to us directly, via phone/chat? With Twitter, we have no account access. You can reach out here: <URL>",test/amazon_escalation_pairs_test.jsonl#pair_0086940,test
golden_023,conv_1004677,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,hard,escalation,have a word with your couriers. Leave packages of significant value by my front door where anyone walking past could see and help themselves. The delivery report lies and says they delivered to me. <URL>,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",Oh no! I'm sorry for the poor delivery experience. We would like to look into this in real time with you. Please reach out to us here: <URL>,test/amazon_escalation_pairs_test.jsonl#pair_0036063,test
golden_024,conv_1298491,AmazonHelp,missing_delivered_package,Missing Delivered Package,returns_and_refunds,Returns & Refunds,hard,escalation,"hey, my prime now order was delivered but not to the correct address. Who do I contact for my money back?","Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.","Oh no! Very sorry to hear your order didn't make it, Megan! To report that issue, use this! <URL>",test/amazon_escalation_pairs_test.jsonl#pair_0044912,test
golden_025,conv_907487,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,easy,resolution,How many times will it take to get to respond to their fulfillment team leaving packages on the sidewalk to get stolen?,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.","I'm sorry to hear this! To confirm, which carrier was assigned to the order? You can check here: <URL>",test/amazon_resolution_pairs_test.jsonl#pair_0032639,test
golden_026,conv_2584178,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,medium,resolution,Yes. I called in about a delivery that was made. Just wasn't made to my house. I was told they have until 4pm to deliver it so I needed to wait After that time passes and no delivery they would call me back Not understanding cause it's marked delivered already,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.","Have you tired these steps to help locate it: <URL> Please keep us posted, we want to make sure you get your order.",test/amazon_resolution_pairs_test.jsonl#pair_0075776,test
golden_027,conv_218048,AmazonHelp,missing_delivered_package,Missing Delivered Package,,,hard,escalation,today is the date but it is to a business address. So if they leave it at the closed business I will have to go get it so it isn't stolen.,"Acknowledge delivery discrepancy, advise checking safe spots, mailroom, and neighbors, and offer carrier inquiry or replacement next steps if still not found.","Must acknowledge package marked as delivered; advise checking porch, mailroom, or neighbors; refrain from guaranteeing immediate reshipment without verification.",Please send us your details here: <URL>,test/amazon_escalation_pairs_test.jsonl#pair_0006692,test
