example_id,customer_message,current_intent,human_verified_intent,expected_behavior,gold_guidance,human_review_status,reviewer_notes
golden_001,My package has been out for delivery twice now i need it for tomorrow <URL>,delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_002,I’m not paying again for product Ive already paid for on next day delivery. If you can’t deliver the First I don’t trust you to deliver no 2,delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_003,Trying to get free standard locker delivery to my office building but it's not offering it to me. Faust or Katy lockers.,delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_004,"Just wondering if you think this looks like a secure delivery, considering I have had one package go missing this week already? <URL>",delivery_delay,missing_delivered_package,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_005,"Hey , why is it your drivers cannot deliver to a USPS PO box? , no problem. But ? Nope.",delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_006,"It was marked as please deliver to a neighbour on ordering. If no preference is on the box, chucking it behind a bin isn’t acceptable especially around Christmas",delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_007,"AMZL US. 
Also it appears the delivery was attempted in the wrong city. So that's a problem.",delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_008,order : 171 - 5209495 -9794724.. please help to deliver by today.it is assured by amazon and they can deliver this..by today.. please help,delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_009,Yet to receive my courier which was supposed to be delivered yesterday.,delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
golden_010,"Hey Amazon, I'm new to this online shopping thing. Is there a difference between delivery and shipping? I got Prime's 2-day shipping so I'm expecting my item to be here in 2 days.",delivery_delay,delivery_delay,"Acknowledge shipping delay with professional empathy, refrain from asserting unverified carrier arrival times without account access, and direct customer to tracking link or request secure order details.",Must acknowledge late delivery; must NOT fabricate specific carrier dates/times; should provide order tracking self-service link or invite secure details via private message.,VERIFIED,
